,Unnamed: 0,Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:AMOUNT_REQ,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,time until next event,next event,activity number in case,number of activity in case inverse,case start count,case end count,case_relative_time,first_lag_event,second_lag_event,workrate,active cases,days_until_next_holiday,is_holiday,seconds_since_week_start,is_work_time,seconds_to_work_hours,is_weekend
0,0,Created,User_1,A_Create Application,Application,Application_652823628,complete,2016-01-01 09:51:15.304,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.048,A_Submitted,0.0,39.0,31509.0,0.0,0.0,no_lagged_events,no_lagged_events,13866.5244107143,1.0,0,True,381075.304,True,0.0,False
1,1,statechange,User_1,A_Submitted,Application,ApplState_1582051990,complete,2016-01-01 09:51:15.352,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.422,W_Handle leads,1.0,38.0,31508.0,0.0,0.048,A_Create Application,no_lagged_events,13866.5244107143,1.0,0,True,381075.352,True,0.0,False
2,2,Created,User_1,W_Handle leads,Workflow,Workitem_1298499574,schedule,2016-01-01 09:51:15.774,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,80.618,W_Handle leads,2.0,37.0,31508.0,0.0,0.47,A_Submitted,A_Create Application,13866.5244107143,1.0,0,True,381075.774,True,0.0,False
3,3,Deleted,User_1,W_Handle leads,Workflow,Workitem_1673366067,withdraw,2016-01-01 09:52:36.392,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.011,W_Complete application,3.0,36.0,31508.0,0.0,81.088,W_Handle leads,A_Submitted,13866.5244107143,1.0,0,True,381156.392,True,0.0,False
4,4,Created,User_1,W_Complete application,Workflow,Workitem_1493664571,schedule,2016-01-01 09:52:36.403,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.01,A_Concept,4.0,35.0,31508.0,0.0,81.099,W_Handle leads,W_Handle leads,13866.5244107143,1.0,0,True,381156.403,True,0.0,False
5,5,statechange,User_1,A_Concept,Application,ApplState_642383566,complete,2016-01-01 09:52:36.413,Existing loan takeover,New credit,Application_652823628,20000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,89566.016,W_Complete application,5.0,34.0,31508.0,0.0,81.109,W_Complete application,W_Handle leads,13866.5244107143,1.0,0,True,381156.413,True,0.0,False
6,40,Created,User_1,A_Create Application,Application,Application_1691306052,complete,2016-01-01 10:16:11.500,Home improvement,New credit,Application_1691306052,10000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.049,A_Submitted,0.0,30.0,31508.0,0.0,0.0,no_lagged_events,no_lagged_events,13866.5244107143,2.0,0,True,382571.5,True,0.0,False
7,41,statechange,User_1,A_Submitted,Application,ApplState_284636842,complete,2016-01-01 10:16:11.549,Home improvement,New credit,Application_1691306052,10000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.191,W_Handle leads,1.0,29.0,31507.0,0.0,0.049,A_Create Application,no_lagged_events,13866.5244107143,2.0,0,True,382571.549,True,0.0,False
8,42,Created,User_1,W_Handle leads,Workflow,Workitem_831373279,schedule,2016-01-01 10:16:11.740,Home improvement,New credit,Application_1691306052,10000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,79.833,W_Handle leads,2.0,28.0,31507.0,0.0,0.24,A_Submitted,A_Create Application,13866.5244107143,2.0,0,True,382571.74,True,0.0,False
9,43,Deleted,User_1,W_Handle leads,Workflow,Workitem_1299098074,withdraw,2016-01-01 10:17:31.573,Home improvement,New credit,Application_1691306052,10000.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.011,W_Complete application,3.0,27.0,31507.0,0.0,80.073,W_Handle leads,A_Submitted,13866.5244107143,2.0,0,True,382651.573,True,0.0,False
